Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002639;;75007;12;1;DGJOP;EVENEMENTIEL;Paris 2024 - site Invalide;Place des Invalides;Av Maréchal GAllieni - rue de l'Université - rue Saint Dominique;2024-07-10;2024-10-31;BARRAGE_TOTAL;Barrage des rue Saint Dominique (entre Fabert et Constantine) et av du Maréchal Gallieni;1;4;;"{""coordinates"": [[[[2.3131859854411516, 48.85887594273575], [2.313108656956511, 48.85892703272333], [2.313192945580927, 48.85932494144682], [2.313235830947555, 48.859776318985524], [2.3132636443250276, 48.86013630941256], [2.3133141749755755, 48.860625324256965], [2.3133520398753182, 48.86084036603265], [2.313473628940222, 48.860878657409934], [2.3136526000961153, 48.86090854957017], [2.314792629504356, 48.860872117778506], [2.3145884152518876, 48.858395471160144], [2.3145899694794974, 48.85827732661307], [2.313659762043747, 48.85845459526152], [2.3135488192266838, 48.85856972726019], [2.3134496701740996, 48.858681940957965], [2.3134577372120457, 48.858687358177214], [2.3133262446869827, 48.85878327428919], [2.313246396153297, 48.858836029899464], [2.313268636066277, 48.858831279438284], [2.313225222996716, 48.85885001833823], [2.3132081073602855, 48.8588613266047], [2.3132440088565356, 48.8588472500186], [2.3131799235314134, 48.859077818987394], [2.3131859854411516, 48.85887594273575]]], [[[2.313186258125986, 48.8588668374515], [2.313225222996716, 48.85885001833823], [2.313246396153297, 48.858836029899464], [2.313186801764785, 48.85884875817833], [2.313186258125986, 48.8588668374515]]], [[[2.313121715356367, 48.858862660037104], [2.313186801764785, 48.85884875817833], [2.3131871788009324, 48.858836182889114], [2.313121715356367, 48.858862660037104]]], [[[2.313186165567725, 48.85886992979551], [2.313186258125986, 48.8588668374515], [2.3131090109547245, 48.85890018187174], [2.313186165567725, 48.85886992979551]]], [[[2.3131859854411516, 48.85887594273575], [2.3132081073602855, 48.8588613266047], [2.313186165567725, 48.85886992979551], [2.3131859854411516, 48.85887594273575]]]], ""type"": ""MultiPolygon""}";48.85967694658597, 2.3139894385856308
CP002671;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;;rue Schubert -rue Paganini;;2024-10-01;2025-01-31;RESTREINTE;Travaux en demi chaussée.;2;2;;"{""coordinates"": [[[2.4116891045505136, 48.85217095646313], [2.4117377190425513, 48.852189991887315], [2.4117376887274746, 48.85219267719568], [2.4118603153213325, 48.85142260025915], [2.411807177818527, 48.851443820924494], [2.4116891045505136, 48.85217095646313]]], ""type"": ""Polygon""}";48.85180975039869, 2.411773440962627
CP002683;;75010;11;1;SAGP. DST;REAMENAGEMENT_SECTEUR;Elargissement du trottoir coté école et centre sportif.;Rue de Lancry;du 1 au 19;2024-10-14;2024-11-29;BARRAGE_TOTAL;Fermeture de la rue de Lancry de 7h00 a 17h00 durant les travaux avec déviation par la rue René boulanger et la rue Bouchardon. Mise en inversion de sens de la rue Boulanger depuis la rue de Lancry jusqu'à la rue Bouchardon.;2;2;;"{""coordinates"": [[[2.3606375504166084, 48.86980225492016], [2.3607010506004475, 48.86976902804488], [2.3599290414989396, 48.868662599743615], [2.35984737529147, 48.86868364464035], [2.3606375504166084, 48.86980225492016]]], ""type"": ""Polygon""}";48.86921968648766, 2.360271844257737
CP002692;;75015;13;1;S.T.V;REAMENAGEMENT_VOIRIE;;Boulevard Victor;du 13 au 57 bld Victor;2024-10-21;2024-12-20;RESTREINTE;"Fermeture des deux accès entre bld Victor et Lefebvre (traversées de tramway) .
Réduction de voirie avec maintient d'une voie de circulation Bld Victor.";2;2;;"{""coordinates"": [[[2.2871231893820325, 48.83327207757406], [2.2892449038279725, 48.83234616572861], [2.2892550712595168, 48.832346226149355], [2.289249116423892, 48.832335449504065], [2.2890349811630695, 48.83237848549814], [2.2889630701110515, 48.83228272675325], [2.2888079829935695, 48.83232074228918], [2.2888797839162778, 48.832424557088665], [2.287441565054623, 48.833043032869135], [2.28732682083846, 48.83295641647924], [2.287207932008657, 48.83302418564511], [2.2873429576399924, 48.83311495039906], [2.2870769656854137, 48.8332315216899], [2.2871231893820325, 48.83327207757406]]], ""type"": ""Polygon""}";48.832775374619985, 2.288126750049448
CP002711;;75018;9;1;Mission Vélo;TRAVAUX_PREPARATOIRES;;;;2024-11-26;2024-12-19;RESTREINTE;;;1;;"{""coordinates"": [[[2.332646316870952, 48.887795449215766], [2.3326911735187297, 48.887790328431755], [2.3325499198605097, 48.88705647284538], [2.3325131716683374, 48.88706432417302], [2.3325171058088667, 48.88707508678159], [2.332646316870952, 48.887795449215766]]], ""type"": ""Polygon""}";48.88744070421021, 2.332603272096946
CP001670;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;place du Palais Royal;n°2;2020-06-29;2025-03-31;RESTREINTE;Maintien d'une file de circulation .Lors des livraisons cette voie pourra être fermée.;2;4;;"{""coordinates"": [[[2.337232888790253, 48.862257597171684], [2.3370699264413646, 48.86231023365322], [2.3371952989616256, 48.86251913700107], [2.337272622259835, 48.86253622203807], [2.3373757632412215, 48.86250823886393], [2.337232888790253, 48.862257597171684]]], ""type"": ""Polygon""}";48.86240295301129, 2.3372231998594786
CP002673;;75014;12;3;R.A.T.P;RACCORDEMENT_RESEAU;travaux de H.T.A;rue Froidevaux;Depuis la rue Emile Richard jusqu'à la place Denfert Rochereau.;2024-09-16;2024-11-28;RESTREINTE;Fermeture totale de la piste cyclable depuis l'avenue du Maine jusqu'à la place Denfert-Rochereau.;2;2;;"{""coordinates"": [[[2.327835778578545, 48.836382990256425], [2.327966219926423, 48.83636223995273], [2.327725764356672, 48.83608161188321], [2.3312731637381088, 48.83476227918966], [2.3315014290784988, 48.835042832255496], [2.331709732552498, 48.834976862767334], [2.3312573420274765, 48.83472728165328], [2.327587394703469, 48.83605207134974], [2.327835778578545, 48.836382990256425]]], ""type"": ""Polygon""}";48.83549694973529, 2.3293822608488584
CP002687;;75010;11;1;STV;REFECTION_CHAUSSEE;Réfection de 3 tranchées sur passages piétons.;175 b rue du Faubourg Saint-Denis;;2024-10-21;2024-10-25;RESTREINTE;fermeture du sens descendant depuis la rue Demarquay jusqu'à la rue de Dunkerque.;2;2;;"{""coordinates"": [[[2.3578080458089747, 48.8805727601965], [2.357692998087743, 48.88032778571335], [2.3574887499533195, 48.88038307959719], [2.35762441702792, 48.88060668258449], [2.3578080458089747, 48.8805727601965]]], ""type"": ""Polygon""}";48.880469468762044, 2.3576530367045465
CP002689;;75014;12;1;S.A.P;TRAVAUX_URGENCE;affaissement d'un avaloir.;39 rue d'Alesia.;;2024-09-27;2024-11-29;BARRAGE_TOTAL;Depuis la rue de la Tombe d'Issoire jusqu'à la place Victor et Hélène Basch.;1;2;;"{""coordinates"": [[[2.3324922753795225, 48.8278949423307], [2.3324127236847345, 48.82775485843368], [2.327051745527378, 48.82778389052444], [2.3271232178009864, 48.82791856152905], [2.3324922753795225, 48.8278949423307]]], ""type"": ""Polygon""}";48.827837987228314, 2.329787693718862
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;1;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
CP002644;;75014;12;3;RATP;CREATION_ENTRETIEN_OUVRAGE_ART;Création d'une sortie de métro piétonne.;Rue Niepce;;2024-03-01;2026-07-31;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3178901491779564, 48.835308001945826], [2.3189344561423457, 48.83446000732315], [2.318745808937063, 48.83457708891329], [2.3189674159672196, 48.83442797048929], [2.3188705700426113, 48.834368341057065], [2.3177773129762183, 48.835226797195716], [2.3178901491779564, 48.835308001945826]]], ""type"": ""Polygon""}";48.83484937402215, 2.3183568054757377
CP002647;;75015;13;3;ENEDIS;ENTRETIEN_RESEAU;Travaux HTA sur réseau.;Avenue Ernest Renan angle rue d'Oradour sur Glane;;2024-09-16;2024-11-29;RESTREINTE;Travaux en demi chaussée et sur trottoir avec maintient du cheminement piéton.;2;2;;"{""coordinates"": [[[2.2853475627534983, 48.83096318770699], [2.285498893784224, 48.830902327957205], [2.285502961187371, 48.830902352256246], [2.2855110959935767, 48.830902400853965], [2.2849429668567747, 48.83050962490061], [2.2840147506001944, 48.83086659865929], [2.2841873150449867, 48.83103681009567], [2.2849525894448575, 48.83069765888342], [2.2853475627534983, 48.83096318770699]]], ""type"": ""Polygon""}";48.83077560224916, 2.2847224385561113
CP002680;;75015;12;3;R.A.T.P;TRAVAUX_OUVRAGE;Travaux de réfaction et d'agrandissement du réseaux de ventilation RATP.;42 boulevard du Montparnasse.;du 42 au 48 angle rue d'Alençon.;2024-10-07;2026-02-16;RESTREINTE;Fermeture du couloir de BUS RATP et renvoie des BUS dans la circulation générale. Réduction de la largeur du trottoir du 42 au 44.;2;2;;"{""coordinates"": [[[2.320606522927883, 48.84489093261104], [2.321090737865782, 48.84473054679169], [2.3210658001525717, 48.844692810964936], [2.3208093891972212, 48.844777957056245], [2.320811379697762, 48.844781325681645], [2.320788416547717, 48.84474829928414], [2.3205524409300247, 48.84482617706741], [2.320606522927883, 48.84489093261104]]], ""type"": ""Polygon""}";48.8447949508643, 2.3207923341848087
CP002691;;75014;12;1;S.T.V;REAMENAGEMENT_SECTEUR;Végétalisation de la rue Delambre.;Rue Delambre;Depuis le boulevard Raspail au square Delambre.;2025-01-06;2025-03-03;BARRAGE_TOTAL;Fermeture totale du tronçon depuis le square Delambre au boulevard Raspail. Mise en place d'une déviation et maintient des livraisons pour les magasins.;1;1;;"{""coordinates"": [[[2.327277175586346, 48.841633381565885], [2.3292711159414616, 48.84191311229991], [2.3293412746686784, 48.84183563051346], [2.3273107239829534, 48.841555695049784], [2.327277175586346, 48.841633381565885]]], ""type"": ""Polygon""}";48.841735690657124, 2.328309808047438
CP002436;;;;;;;;;;;;;;;2;;"{""coordinates"": [[[2.255848205600326, 48.923135281342184], [2.2614798719419316, 48.92302742539865], [2.265159882839182, 48.92305005072622], [2.2651624226884044, 48.92287020520833], [2.2614798059169083, 48.922847563815395], [2.26147456096545, 48.92284759803639], [2.25584028770509, 48.92295550398602], [2.255848205600326, 48.923135281342184]]], ""type"": ""Polygon""}";48.92297457567503, 2.2605022793462584
CP002668;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Création de jardinières et élargissement du trottoir.;rue des Orteaux.;du 42 des Orteaux au CF rue des Pyrénées;2024-10-07;2024-12-20;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.4025507306724463, 48.85654954169328], [2.404729313340054, 48.85624622044647], [2.4048019455792975, 48.85630028713122], [2.404862435812594, 48.85617035179478], [2.4047769833069412, 48.85616992676441], [2.4046416781786477, 48.856080639204464], [2.404604779985394, 48.85610462286575], [2.4046974201910127, 48.8561883282198], [2.4030101938741186, 48.856405486829104], [2.402909232493083, 48.85633785045123], [2.402864271365415, 48.85635508061766], [2.4029019450149938, 48.85644119759818], [2.4025310467477135, 48.856491709851554], [2.4025507306724463, 48.85654954169328]]], ""type"": ""Polygon""}";48.85634687462239, 2.4037171595760487
CP002677;;75001;11;2;FRAICHEUR DE PARIS;ENTRETIEN_RESEAU;;Avenue de l'Opera-place André Malraux;emprise sur chaussée et sur la place de la fontaine coté rue Saint-Honoré.;2024-10-07;2024-11-01;RESTREINTE;;1;2;;"{""coordinates"": [[[2.3351641338807148, 48.86401610573289], [2.3352853058499705, 48.86392950708518], [2.335327527659185, 48.86381024626412], [2.3352958426862096, 48.8637415958102], [2.3351552648994645, 48.863754241300555], [2.3351128109093526, 48.86357274834702], [2.3348434546255574, 48.863630327919], [2.3349696127449877, 48.86379080341778], [2.3349737156535624, 48.86378814076662], [2.3351641338807148, 48.86401610573289]]], ""type"": ""Polygon""}";48.863780049518425, 2.335106864168413
CP002682;;75015;13;3;MACON DE FRANCE;REHABILITATION_IMMEUBLE;;rue Paul Barruel Paris 15;Du n ° 10 au  16;2024-10-21;2026-10-31;RESTREINTE;fermeture du trottoir coté pair du 10 au 16 rue Paul Barruel et renvoie des piétons coté impair. Réduction de la voirie pendant toute la durée des travaux.;2;2;;"{""coordinates"": [[[2.304594709199898, 48.839767887546316], [2.304803116222228, 48.83939314897739], [2.3048163576920717, 48.83931535041076], [2.304743388636326, 48.83929612859435], [2.3044770276648134, 48.8397457201211], [2.304594709199898, 48.839767887546316]]], ""type"": ""Polygon""}";48.83954177580066, 2.304658267792856
CP002638;;75005;12;3;A7A8;CONSTRUCTION_IMMEUBLE;;Boulevard de l'Hopital;au n°11;2024-01-08;2025-04-01;RESTREINTE;Neutralisation du trottoir, déviation piétonne obligatoire sur le trottoir d'en face;2;2;;"{""coordinates"": [[[2.3642443559308997, 48.84281055164292], [2.364227885928587, 48.842826576169294], [2.3646293126078626, 48.84260314100179], [2.3640153414574194, 48.8415740817198], [2.363409665230726, 48.84186624664346], [2.363985830436452, 48.842658798852604], [2.3641085295069426, 48.84260574486684], [2.3642443559308997, 48.84281055164292]]], ""type"": ""Polygon""}";48.84219098441977, 2.3640339656032325
CP002648;;75005;12;2;CPCU;CREATION_RESEAUX;;Quai Saint-Bernard et rue des Fossés Saint-Bernard;;2024-09-16;2025-01-30;RESTREINTE;Travaux en plusieurs phases. Circulation piétonne modifiée sur le carrefour rue des Fossés Saint-Bernard/Bd Saint Germain. Itinéraire cyclable conservé.;1;2;;"{""coordinates"": [[[2.3561205416482465, 48.84922941154152], [2.353343189226003, 48.84745286152407], [2.3534102836823925, 48.84729210497394], [2.353313041247872, 48.84725935537033], [2.3531803164500134, 48.84746272301866], [2.3561190818462125, 48.84934755757344], [2.357357269319315, 48.849246801765574], [2.359326450502557, 48.847936185601576], [2.3591647660593806, 48.84784938966031], [2.3570487171317924, 48.84919143716342], [2.3561205416482465, 48.84922941154152]]], ""type"": ""Polygon""}";48.848555692634534, 2.356608141994743
CP002696;;75018;9;1;SAGP;REAMENAGEMENT_VOIRIE;Réfection de chaussée et création d'un passage surélevé pour la sécurité des piétons et PMR;Avenue de la porte de la chapelle;;2024-11-04;2024-12-06;RESTREINTE;fermeture sortie Périphérique Porte de la Chapelle et l'autoroute A1.  ainsi que réductions de voies;1;1;;"{""coordinates"": [[[2.3591337420771947, 48.899824766873145], [2.359153475987045, 48.899826759230834], [2.359157581862569, 48.89982409584526], [2.3592010136919237, 48.8994390030591], [2.359278772650453, 48.89940853928225], [2.3592217982009753, 48.89907392733651], [2.3592482784109143, 48.89874244803871], [2.3590162301313202, 48.89873449292574], [2.3589907568025033, 48.8989840795689], [2.358950513030942, 48.89911006876451], [2.3587966860339176, 48.899199199357724], [2.3587971680857778, 48.899325405614476], [2.3588943946057737, 48.89925153921261], [2.3588734244954086, 48.89963138239631], [2.358793863934842, 48.899808179150746], [2.3590054729498666, 48.89982273775997], [2.3591337420771947, 48.899824766873145]]], ""type"": ""Polygon""}";48.89931317374321, 2.359055974196613
CP002700;;75007;12;3;Musée d'Orsay;REHABILITATION_IMMEUBLE;Deux chantiers de réhabilitation de bâtiments publics pour le musée d'Orsay et le conseil d'état.;Quai Voltaire;aux n°29-31;2024-10-01;2026-08-01;RESTREINTE;Réduction du quai Voltaire à une voie de circulation dans le sens Est/Ouest;1;2;;"{""coordinates"": [[[2.3296417394036775, 48.85934551403987], [2.3296896728372563, 48.8594156009651], [2.3301842120362175, 48.859251881289445], [2.3300244401126555, 48.85901736512524], [2.329987574561423, 48.8590359560642], [2.330091444456793, 48.85918691450391], [2.3296376697601486, 48.859345491242436], [2.3296417394036775, 48.85934551403987]]], ""type"": ""Polygon""}";48.85926763703709, 2.329935695831666
CP002703;;75010;11;1;;REAMENAGEMENT_VOIRIE;Sécurisation de création d'un ilot central pour les piétons;Faubourg Saint Martin;De la Sibour jusqu'à la la Rue Saint Laurent;2024-11-12;2024-12-09;RESTREINTE;Reduction de nombre de voies de circulations.;2;1;;"{""coordinates"": [[[2.3587505756758156, 48.87437547462226], [2.35869135299833, 48.87439126896236], [2.359007097249906, 48.874866908334575], [2.3590806331317062, 48.87484581964541], [2.3590745268309763, 48.87484578695135], [2.3590684205302543, 48.87484575425699], [2.3587505756758156, 48.87437547462226]]], ""type"": ""Polygon""}";48.87462382590562, 2.3588820370833816
CP002710;;75018;9;1;Mission Vélo;TRAVAUX_PREPARATOIRES;travaux préparatoires dépose de gallinette et mise en conformité des quai des bus;1Rue Damrémont;Angle Damrémont et Joseph de Maistre;2024-11-04;2024-10-26;;"Impacte sur la circulation rentrante de Paris 
déviation par la rue des Clois";2;1;;"{""coordinates"": [[[[2.332592321549073, 48.886925132977545], [2.332567892111679, 48.886924996803955], [2.332645892705734, 48.88751081232192], [2.3327232536894136, 48.8875112434718], [2.332674750010925, 48.88729411821065], [2.3326995809814655, 48.887452036494786], [2.332592321549073, 48.886925132977545]]], [[[2.332592321549073, 48.886925132977545], [2.332674750010925, 48.88729411821065], [2.3326167509864937, 48.88692526914613], [2.332592321549073, 48.886925132977545]]]], ""type"": ""MultiPolygon""}";48.88724082630918, 2.3326386799528103
CP002441;671912;75010;11;3;APHP Lariboisière;CONSTRUCTION_IMMEUBLE;Hôpital Lariboisière;Rue de Maubeuge;Emprise située du n° 111 au n° 119;2022-10-10;2026-06-03;RESTREINTE;"Emprise sur chaussée + trottoir impair
Circulation restante : 2 x 3ml";2;2;;"{""coordinates"": [[[2.3548154074086916, 48.882758481941224], [2.3547448071349977, 48.882778327386305], [2.355374654334728, 48.88392268022739], [2.3554557692244136, 48.883927876177694], [2.3548154074086916, 48.882758481941224]]], ""type"": ""Polygon""}";48.88334292681566, 2.3550956528458444
CP002526;819694;75015;13;3;Institut Pasteur;REHABILITATION_IMMEUBLE;;rue de Vaugirard;Au 213;2023-07-17;2024-10-31;RESTREINTE;Neutralisation de la voie Bus;2;4;;"{""coordinates"": [[[2.309509136057391, 48.841907928327046], [2.30950912029477, 48.84190911809882], [2.3095146066558643, 48.841903201352], [2.3091699309781957, 48.84179650974192], [2.3091565893256156, 48.841851162789425], [2.3094833031716817, 48.84195299130053], [2.309509136057391, 48.841907928327046]]], ""type"": ""Polygon""}";48.84187570400312, 2.3093310364382154
CP002675;;75015;13;1;C.P.C.U;TRAVAUX_TRAMWAY;;rue de la croix Nivert;entre le 49 et le 41 avec un dépassement sur le carrefour rue de l'Amiral  Roussin.;2024-09-23;2024-10-25;RESTREINTE;Réduction de voie et déplacement du passage piéton du 44 rue de la croix Nivert au 48 rue de la Croix Nivert.;2;2;;"{""coordinates"": [[[2.2987040979036863, 48.84589058684708], [2.298381703427047, 48.84566044217807], [2.2983900935855575, 48.84564169464933], [2.298269128291752, 48.84556042452926], [2.2982036197034557, 48.84559092177119], [2.2986814510686715, 48.84591059447108], [2.2987040979036863, 48.84589058684708]]], ""type"": ""Polygon""}";48.845714547089536, 2.2984295272375044
CP002695;;75015;13;3;Elogie.Siemp;REHABILITATION_IMMEUBLE;;5 rue du Bessin;;2024-10-07;2026-02-13;RESTREINTE;Réduction de la voirie avec entrée et sortie de poids lourds.;2;2;;"{""coordinates"": [[[2.305629240952048, 48.831148026839976], [2.3061722975740007, 48.830839003163874], [2.306176391780886, 48.830837013211635], [2.3062890940557974, 48.8308497509906], [2.3066414953218457, 48.8312660138834], [2.306666023598463, 48.83125675759909], [2.3062675376005193, 48.830788534014594], [2.3061577781227083, 48.83078386900094], [2.3055748162293677, 48.83111145879396], [2.305629240952048, 48.831148026839976]]], ""type"": ""Polygon""}";48.83097169004043, 2.3060615779034053
CP002414;729663;75014;12;2;RATP;TRAVAUX_OUVRAGE;Création d'une nouvelle sortie;av. de l'Observatoire;"av; de l'Observatoire angle Henri Barbusse";2022-11-28;2024-12-30;RESTREINTE;Neutralisation Piste cyclable;2;2;;"{""coordinates"": [[[2.3369469747875966, 48.83893101034745], [2.337005012780436, 48.838902777141215], [2.3368497858624178, 48.83877817818424], [2.3367559293691897, 48.83878836568384], [2.336725198789989, 48.838795334465104], [2.3367489948365203, 48.83919166628413], [2.336853559330189, 48.839189866288386], [2.336836852180698, 48.83894467733307], [2.3369469899230135, 48.83892982056896], [2.3369469747875966, 48.83893101034745]]], ""type"": ""Polygon""}";48.838956421787096, 2.3368184693775307
CP002708;;75016;13;2;CPCU;RACCORDEMENT_RESEAU;;128  Rue Lonchamp;croisement de la Rue  Longchamp et la Rue  Victor Hugo;2024-12-02;2024-10-30;RESTREINTE;Mise en sens unique  des Rues Longchamp et Victor Hugo;2;1;;"{""coordinates"": [[[2.278416399376677, 48.86723371717523], [2.2788172653820182, 48.86709112752656], [2.2787280976613826, 48.867063736514815], [2.2784257300353743, 48.867147844147105], [2.278401012470106, 48.86716917699709], [2.27844511282421, 48.86721777843113], [2.278440968199359, 48.86722312436156], [2.278416399376677, 48.86723371717523]]], ""type"": ""Polygon""}";48.86713794756173, 2.2785872963104277
CP002649;;75012;14;1;Fayolle;REAMENAGEMENT_VOIRIE;;;Place Félix Eboué.;2024-08-01;2025-08-29;RESTREINTE;Plusieurs voies réduites pour la circulation et création de voies cyclables provisoires le temps des travaux.;1;2;;"{""coordinates"": [[[2.395466747299581, 48.84010052209265], [2.3966265139160634, 48.83971969025336], [2.397375254949208, 48.839701981542916], [2.397361093570681, 48.83951930757824], [2.3970034932857303, 48.8394852813882], [2.3967946992897926, 48.839247919781215], [2.397661800578051, 48.83884411943166], [2.397501075133948, 48.83867144831366], [2.3958502085414652, 48.839307601531864], [2.3962517692855934, 48.83976076461167], [2.3960725330410964, 48.83978134197787], [2.395403031195249, 48.83998204567209], [2.395466747299581, 48.84010052209265]]], ""type"": ""Polygon""}";48.839379679853586, 2.39662252961462
CP002674;;75014;12;3;R.A.T.P;ENTRETIEN_RESEAU;fermeture.;rue Froidevaux.;Piste cyclable.;2024-09-16;2024-11-28;BARRAGE_TOTAL;Fermeture totale de la piste cyclable pour travaux.;1;2;;"{""coordinates"": [[[2.3231661576060287, 48.83757658587311], [2.327615348553635, 48.83609250857949], [2.327579293696639, 48.83604934028973], [2.3231749908236963, 48.8375229291164], [2.3231661576060287, 48.83757658587311]]], ""type"": ""Polygon""}";48.83679989264067, 2.32541535424261
CP002685;;75010;11;1;SAGP .DST;REAMENAGEMENT_SECTEUR;Elargissement du trottoir et aménagement de la piste cyclable.;Rue Louis Blanc;du 50 au 52;2024-10-14;2025-02-26;BARRAGE_TOTAL;;2;2;;"{""coordinates"": [[[2.363169175758722, 48.88224695506083], [2.363076524469573, 48.882165905671435], [2.3622813189155103, 48.882602050725154], [2.362339234723973, 48.882693657287575], [2.363169175758722, 48.88224695506083]]], ""type"": ""Polygon""}";48.882425002699634, 2.3627212179717345
CP002704;;75010;11;1;Eau de PARIS;INSPECTION_ENTRETIEN_RESEAU;;148 quai de Jemmapes;;2024-09-20;2025-02-28;IMPASSE;Quai Jemmapes fermé depuis le pont Maria Casarès jusqu'au 150 quai Jemmapes.;2;2;;"{""coordinates"": [[[2.3659513959409657, 48.87757496031595], [2.366045417611009, 48.877543235162435], [2.365932839806638, 48.877427173583136], [2.3656792383725844, 48.877525183896154], [2.3657193264900496, 48.87757641635876], [2.3658500833819294, 48.87753683066461], [2.3658502141645816, 48.87752608972539], [2.3659513959409657, 48.87757496031595]]], ""type"": ""Polygon""}";48.877511959501966, 2.3658727041610015
CP002666;;75015;13;3;S.N.C.F;REHABILITATION_IMMEUBLE;;Boulevard Vaugirard (1-17);;2024-10-30;2026-03-30;RESTREINTE;Réduction de voirie et suppression du couloir de bus. Circulation sur une voie pour tous les véhicules.;1;1;;"{""coordinates"": [[[2.319176513855834, 48.84165315782454], [2.319752173403109, 48.84180949672928], [2.319772793744469, 48.841788131722375], [2.319748490643204, 48.84177993700274], [2.319760975804965, 48.84175852573643], [2.3192056202719904, 48.84160498702553], [2.319176513855834, 48.84165315782454]]], ""type"": ""Polygon""}";48.84170643714342, 2.3194725247371406
CP002670;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Végétalisation des rues.;rue Paganini - rue Schubert;;2024-10-01;2025-01-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.4111871971088936, 48.85121520640693], [2.4111258621165996, 48.85124175825165], [2.411141530065947, 48.851295540961], [2.4116944332366548, 48.85133854000611], [2.4116950395316272, 48.85128483739409], [2.411390181984455, 48.85125648525257], [2.411349069603288, 48.85129387673286], [2.411251510268534, 48.85128534124165], [2.4111871971088936, 48.85121520640693]]], ""type"": ""Polygon""}";48.85128978864833, 2.4114239862239404
