time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2024-07-18,2,29.0,14.7,56343.93,50569.87,0.00,0.00,0.00,0.0,8.5,17.6,25.70,5.16
2024-07-19,51,31.8,17.8,56212.32,48722.64,0.20,0.20,0.00,2.0,8.4,16.6,23.37,4.97
2024-07-20,63,30.2,18.7,56077.21,50603.54,13.60,13.60,0.00,6.0,12.7,28.4,23.72,5.20
2024-07-21,51,25.3,18.3,55938.77,35298.14,1.60,1.60,0.00,13.0,19.7,37.8,17.27,3.65
2024-07-22,3,24.5,14.5,55797.21,29176.63,0.00,0.00,0.00,0.0,17.4,33.1,15.83,3.69
2024-07-23,53,23.7,16.9,55652.70,33998.34,1.90,1.90,0.00,8.0,24.5,46.4,17.68,3.81
2024-07-24,3,24.4,13.8,55505.41,43260.05,0.00,0.00,0.00,0.0,7.0,16.2,19.06,3.56
2024-07-25,51,27.9,15.6,55355.52,39610.03,0.30,0.30,0.00,1.0,13.3,28.1,21.14,4.82
2024-07-26,53,23.6,19.1,55203.22,11893.46,5.00,5.00,0.00,14.0,10.6,21.6,11.44,2.33
2024-07-27,61,19.7,16.1,55048.66,648.79,7.60,7.60,0.00,17.0,10.2,21.2,6.66,1.35
2024-07-28,1,24.4,11.2,54892.02,50400.00,0.00,0.00,0.00,0.0,14.5,28.8,26.51,4.76
2024-07-29,1,29.1,14.4,54733.46,50337.52,0.00,0.00,0.00,0.0,12.9,25.6,24.85,5.04
2024-07-30,1,33.6,19.5,54573.12,49639.75,0.00,0.00,0.00,0.0,10.0,18.7,24.19,5.13
2024-07-31,63,31.2,21.5,54410.97,41389.14,7.10,7.10,0.00,4.0,17.6,30.2,18.84,3.90
2024-08-01,65,28.6,20.3,54245.68,37803.39,29.40,29.40,0.00,8.0,13.7,35.3,18.24,3.49
2024-08-02,61,27.2,18.5,54077.18,49875.25,2.70,2.70,0.00,5.0,19.4,36.7,22.08,4.55
2024-08-03,51,24.1,15.0,53905.67,22052.18,0.60,0.60,0.00,2.0,14.8,27.4,14.30,3.20
2024-08-04,3,23.4,16.2,53731.37,39707.99,0.00,0.00,0.00,0.0,14.3,27.0,21.20,3.93
2024-08-05,1,27.5,13.4,53554.47,49549.71,0.00,0.00,0.00,0.0,8.4,19.8,25.61,4.89
2024-08-06,3,28.2,15.5,53375.18,48552.75,0.00,0.00,0.00,0.0,15.6,28.8,24.26,5.10
2024-08-07,61,23.3,16.5,53193.67,39029.59,2.90,2.90,0.00,6.0,13.7,28.1,19.64,4.07
