Period,Number of Arrivals
2024-10,614.3718586
2024-09,606.515
2024-08,330.05
2024-07,384.66
2024-06,532.91
2024-05,520.25
2024-04,540.18
2024-03,618.36
2024-02,549.17
2024-01,578.18
2023-12,644.16
2023-11,671.56
2023-10,580.11
2023-09,571.03
2023-08,444.82
2023-07,499.56
2023-06,598.41
2023-05,542.2
2023-04,532.92
2023-03,557.18
2023-02,506.52
2023-01,549.14
2022-12,613.62
2022-11,668.38
2022-10,609.56
2022-09,565.28
2022-08,417.76
2022-07,510.34
2022-06,580.59
2022-05,575
2022-04,543.58
2022-03,622.59
2022-02,488.47
2022-01,394.53
2021-12,565.45
2021-11,615.04
2021-10,623.19
2021-09,524.37
2021-08,381.84
2021-07,475.18
2021-06,452.8
2021-05,343.89
2021-04,0
2021-03,0
2021-02,0
2021-01,0
2020-12,0
2020-11,344.15
2020-10,369.48
2020-09,292.13
2020-08,318.92
2020-07,0
2020-06,0
2020-05,0
2020-04,0
2020-03,0
2020-02,0
2020-01,0
